team,region,country,track,status,year,url
Aachen,Europe,Germany,Measurement,Accepted,2014,https://2014.igem.org/Team:Aachen/Description
Aachen,Europe,Germany,Manufacturing,Accepted,2015,https://2015.igem.org/Team:Aachen/Description
Aachen,Europe,Germany,New Application,Accepted,2016,https://2016.igem.org/Team:Aachen/Description
Aachen,Europe,Germany,Environment,Accepted,2017,https://2017.igem.org/Team:Aachen/Description
Aachen,Europe,Germany,Diagnostics,Accepted,2018,https://2018.igem.org/Team:Aachen/Description
Aachen,Europe,Germany,Environment,Accepted,2019,https://2019.igem.org/Team:Aachen/Description
Aalto-Helsinki,Europe,Finland,Entrepreneurship,Accepted,2014,https://2014.igem.org/Team:Aalto-Helsinki/Description
Aalto-Helsinki,Europe,Finland,Energy,Accepted,2015,https://2015.igem.org/Team:Aalto-Helsinki/Description
Aalto-Helsinki,Europe,Finland,Environment,Accepted,2016,https://2016.igem.org/Team:Aalto-Helsinki/Description
Aalto-Helsinki,Europe,Finland,Therapeutics,Accepted,2017,https://2017.igem.org/Team:Aalto-Helsinki/Description
Aalto-Helsinki,Europe,Finland,New Application,Accepted,2018,https://2018.igem.org/Team:Aalto-Helsinki/Description
Aalto-Helsinki,Europe,Finland,Manufacturing,Accepted,2019,https://2019.igem.org/Team:Aalto-Helsinki/Description
Aberdeen_Scotland,Europe,United Kingdom,New Application,Accepted,2009,https://2009.igem.org/Team:Aberdeen_Scotland/Description
Aberdeen_Scotland,Europe,United Kingdom,New Application,Accepted,2010,https://2010.igem.org/Team:Aberdeen_Scotland/Description
Aberdeen_Scotland,Europe,United Kingdom,Health & Medicine,Accepted,2014,https://2014.igem.org/Team:Aberdeen_Scotland/Description
Aboa,Europe,Finland,Diagnostics,Accepted,2019,https://2019.igem.org/Team:Aboa/Description
ACIBADEM_ISTANBUL,Asia,Turkey,Therapeutics,Accepted,2018,https://2018.igem.org/Team:ACIBADEM_ISTANBUL/Description
ACIBADEM_ISTANBUL,Asia,Turkey,High School,Accepted,2019,https://2019.igem.org/Team:ACIBADEM_ISTANBUL/Description
Acton-BoxboroughRHS,North America,United States,Food & Energy(P),Accepted,2014,https://2014.igem.org/Team:Acton-BoxboroughRHS/Description
AFCM-Egypt,Africa,Egypt,Therapeutics,Accepted,2017,https://2017.igem.org/Team:AFCM-Egypt/Description
AFCM-Egypt,Africa,Egypt,Therapeutics,Accepted,2018,https://2018.igem.org/Team:AFCM-Egypt/Description
AFCM-Egypt,Africa,Egypt,Therapeutics,Accepted,2019,https://2019.igem.org/Team:AFCM-Egypt/Description
Africa,Africa,,,Accepted,2006,https://2006.igem.org/Team:Africa/Description
AHUT_China,Asia,China,Environment,Accepted,2013,https://2013.igem.org/Team:AHUT_China/Description
AHUT_China,Asia,China,Information Processing,Accepted,2014,https://2014.igem.org/Team:AHUT_China/Description
AHUT_China,Asia,China,Food & Nutrition,Accepted,2015,https://2015.igem.org/Team:AHUT_China/Description
AHUT_China,Asia,China,Information Processing,Accepted,2016,https://2016.igem.org/Team:AHUT_China/Description
AHUT_China,Asia,United States,Information Processing,Accepted,2017,https://2017.igem.org/Team:AHUT_China/Description
AHUT_China,Asia,China,Environment,Accepted,2018,https://2018.igem.org/Team:AHUT_China/Description
AHUT_China,Asia,China,Environment,Accepted,2019,https://2019.igem.org/Team:AHUT_China/Description
Ain_Shams-Egypt,Africa,Egypt,Therapeutics,Accepted,2016,https://2016.igem.org/Team:Ain_Shams-Egypt/Description
AITM-Nepal,Asia,Nepal,Health & Medicine,Accepted,2013,https://2013.igem.org/Team:AITM-Nepal/Description
Aix-Marseille,Europe,France,Foundational Advance,Accepted,2014,https://2014.igem.org/Team:Aix-Marseille/Description
Aix-Marseille,Europe,France,Environment,Accepted,2015,https://2015.igem.org/Team:Aix-Marseille/Description
Aix-Marseille,Europe,France,Environment,Accepted,2016,https://2016.igem.org/Team:Aix-Marseille/Description
Aix-Marseille,Europe,France,Environment,Accepted,2017,https://2017.igem.org/Team:Aix-Marseille/Description
Aix-Marseille,Europe,France,Therapeutics,Accepted,2018,https://2018.igem.org/Team:Aix-Marseille/Description
Aix-Marseille,Europe,France,Diagnostics,Accepted,2019,https://2019.igem.org/Team:Aix-Marseille/Description
Alabama,North America,United States,Therapeutics,Accepted,2019,https://2019.igem.org/Team:Alabama/Description
Alberta,North America,Canada,Energy,Accepted,2007,https://2007.igem.org/Team:Alberta/Description
Alberta,North America,Canada,Foundational Advance,Accepted,2009,https://2009.igem.org/Team:Alberta/Description
Alberta,North America,Canada,Foundational Advance,Accepted,2010,https://2010.igem.org/Team:Alberta/Description
Alberta,North America,Canada,Food & Energy,Accepted,2011,https://2011.igem.org/Team:Alberta/Description
Alberta,North America,Canada,Foundational Advance,Accepted,2012,https://2012.igem.org/Team:Alberta/Description
Alberta,North America,Canada,Information Processing,Accepted,2013,https://2013.igem.org/Team:Alberta/Description
Alberta-North-RBI_E,North America,Canada,,Accepted,2012,https://2012.igem.org/Team:Alberta-North-RBI_E/Description
Alberta_NINT,North America,Canada,,Accepted,2008,https://2008.igem.org/Team:Alberta_NINT/Description
Alma,North America,United States,Therapeutics,Accepted,2019,https://2019.igem.org/Team:Alma/Description
Alverno_CA,North America,United States,High School,Accepted,2016,https://2016.igem.org/Team:Alverno_CA/Description
Amazonas-Brazil,Latin America,Brazil,Therapeutics,Accepted,2019,https://2019.igem.org/Team:Amazonas-Brazil/Description
Amazonas_Brazil,Latin America,Brazil,Foundational Advance,Accepted,2017,https://2017.igem.org/Team:Amazonas_Brazil/Description
Amoy,Asia,China,Foundational Advance,Accepted,2015,https://2015.igem.org/Team:Amoy/Description
Amplino,Europe,Netherlands,,Accepted,2012,https://2012.igem.org/Team:Amplino/Description
AMSA_WeColi,North America,United States,,Accepted,2014,https://2014.igem.org/Team:AMSA_WeColi/Description
Amsterdam,Europe,Netherlands,Foundational Advance,Accepted,2011,https://2011.igem.org/Team:Amsterdam/Description
Amsterdam,Europe,Netherlands,Foundational Advance,Accepted,2012,https://2012.igem.org/Team:Amsterdam/Description
Amsterdam,Europe,Netherlands,Energy,Accepted,2015,https://2015.igem.org/Team:Amsterdam/Description
Amsterdam,Europe,Netherlands,Manufacturing,Accepted,2017,https://2017.igem.org/Team:Amsterdam/Description
AMU-Poznan,Europe,Poland,Software Tools,Accepted,2013,https://2013.igem.org/Team:AMU-Poznan/Description
AMU-Poznan,Europe,Poland,Software,Accepted,2014,https://2014.igem.org/Team:AMU-Poznan/Description
AnatoliaGreece,Europe,Greece,Health & Medicine(P),Accepted,2013,https://2013.igem.org/Team:AnatoliaGreece/Description
Anatolia_Greece,Europe,Greece,Environment(P),Accepted,2014,https://2014.igem.org/Team:Anatolia_Greece/Description
ANU-Canberra,Asia,Australia,Foundational Advance,Accepted,2015,https://2015.igem.org/Team:ANU-Canberra/Description
AQA_Unesp,Latin America,Brazil,Therapeutics,Accepted,2017,https://2017.igem.org/Team:AQA_Unesp/Description
Arizona,North America,,,Accepted,2006,https://2006.igem.org/Team:Arizona/Description
